wkt_geom,id
LINESTRING(30.317690 59.970314;30.317701 59.970385;30.317778 59.970397;30.317778 59.970485;30.317720 59.970487;30.317742 59.970721;30.317747 59.970785;30.317749 59.970798;30.318029 59.970798;30.318034 59.970747;30.318032 59.970722;30.317888 59.970720;30.317868 59.970592;30.317969 59.970589;30.317863 59.970314;30.317690 59.970314),16
LINESTRING(30.316898 59.968083;30.316948 59.968216;30.317016 59.968223;30.317654 59.968519;30.317700 59.968604;30.317984 59.968570;30.317956 59.968524;30.317916 59.968460;30.317916 59.968460;30.317916 59.968460;30.317941 59.968442;30.317977 59.968418;30.317215 59.968096;30.316898 59.968083),1
LINESTRING(30.316713 59.969123;30.316732 59.969178;30.316835 59.969169;30.316816 59.969114;30.316713 59.969123),25
LINESTRING(30.317057 59.968685;30.317133 59.968852;30.317323 59.968834;30.317303 59.968778;30.317819 59.968720;30.317962 59.968985;30.317571 59.969034;30.317669 59.969218;30.318053 59.969168;30.318070 59.969205;30.318420 59.969165;30.318329 59.968960;30.318146 59.968551;30.317984 59.968570;30.317700 59.968604;30.317057 59.968685),12
LINESTRING(30.317099 59.969108;30.317169 59.969225;30.317522 59.969172;30.317452 59.969055;30.317099 59.969108),26
LINESTRING(30.316973 59.969571;30.317004 59.969622;30.317108 59.969605;30.317173 59.969706;30.317270 59.969693;30.317169 59.969540;30.316973 59.969571),27
LINESTRING(30.317244 59.970735;30.317742 59.970721;30.317720 59.970487;30.317701 59.970385;30.317690 59.970314;30.317666 59.970078;30.317211 59.970089;30.317229 59.970555;30.317244 59.970735),13
LINESTRING(30.317245 59.969290;30.317548 59.969800;30.317905 59.969747;30.317601 59.969237;30.317245 59.969290),19
LINESTRING(30.318557 59.969721;30.318557 59.969721;30.318271 59.969211;30.318271 59.969211;30.317981 59.969251;30.318263 59.969755;30.318557 59.969721),17
LINESTRING(30.318601 59.969802;30.318311 59.969842;30.318354 59.969920;30.318644 59.969880;30.318601 59.969802),13
LINESTRING(30.317561 59.969911;30.317590 59.969990;30.318264 59.969925;30.318233 59.969851;30.317561 59.969911),24
LINESTRING(30.316286 59.969648;30.316694 59.970350;30.317036 59.970300;30.316932 59.970110;30.317070 59.970091;30.316963 59.969887;30.316871 59.969896;30.316817 59.969806;30.316871 59.969800;30.316744 59.969585;30.316286 59.969648),20
LINESTRING(30.317805 59.969984;30.317943 59.970303;30.318168 59.970284;30.318163 59.970325;30.318330 59.970308;30.318358 59.970304;30.318197 59.970020;30.318374 59.970004;30.318528 59.970366;30.318626 59.970360;30.318920 59.970344;30.318666 59.969891;30.318338 59.969929;30.317805 59.969984),15
LINESTRING(30.317067 59.970741;30.317052 59.970561;30.317052 59.970561;30.316653 59.970575;30.316676 59.970752;30.316677 59.970752;30.317067 59.970741),17
LINESTRING(30.318019 59.970557;30.318032 59.970722;30.318034 59.970747;30.318862 59.970715;30.318862 59.970720;30.318863 59.970763;30.318977 59.970760;30.318978 59.970760;30.318972 59.970714;30.318972 59.970714;30.319032 59.970711;30.319092 59.970709;30.318920 59.970344;30.318626 59.970360;30.318712 59.970540;30.318259 59.970569;30.318251 59.970534;30.318019 59.970557),14
LINESTRING(30.315666 59.969817;30.315752 59.970062;30.315880 59.970459;30.316284 59.970424;30.316201 59.970200;30.316161 59.970204;30.316095 59.970030;30.316011 59.969787;30.315666 59.969817),22
LINESTRING(30.316090 59.969803;30.316173 59.970005;30.316325 59.969988;30.316238 59.969786;30.316090 59.969803),21
LINESTRING(30.316173 59.970005;30.316299 59.970289;30.316520 59.970267;30.316394 59.969981;30.316325 59.969988;30.316173 59.970005),21
LINESTRING(30.316299 59.970289;30.316339 59.970398;30.316566 59.970378;30.316520 59.970267;30.316299 59.970289),21
LINESTRING(30.315026 59.968548;30.315087 59.968671;30.315310 59.968643;30.315261 59.968544;30.315210 59.968551;30.315078 59.968286;30.315365 59.968249;30.315597 59.968221;30.315551 59.968128;30.315551 59.968128;30.315344 59.968154;30.315335 59.968136;30.315326 59.968118;30.315310 59.968120;30.314841 59.968179;30.315026 59.968548),7
LINESTRING(30.315399 59.968632;30.315428 59.968689;30.315964 59.968622;30.315948 59.968562;30.315399 59.968632),6
LINESTRING(30.315783 59.968055;30.315818 59.968213;30.316134 59.968196;30.316099 59.968037;30.315941 59.968046;30.315783 59.968055),5
LINESTRING(30.315571 59.968368;30.315597 59.968497;30.315916 59.968475;30.315948 59.968562;30.315964 59.968622;30.315978 59.968678;30.316266 59.968658;30.316170 59.968326;30.315571 59.968368),3
LINESTRING(30.316099 59.968037;30.316134 59.968196;30.316127 59.968217;30.316211 59.968218;30.316213 59.968196;30.316811 59.968198;30.316816 59.968213;30.316710 59.968228;30.316708 59.968267;30.316693 59.968289;30.316710 59.968317;30.316715 59.968336;30.316769 59.968405;30.316900 59.968407;30.316905 59.968426;30.316304 59.968501;30.316233 59.968298;30.316164 59.968302;30.316170 59.968326;30.316266 59.968658;30.317013 59.968560;30.316948 59.968216;30.316898 59.968083;30.316099 59.968037;30.316099 59.968037;30.316099 59.968037),2
LINESTRING(30.314463 59.969858;30.314685 59.969833;30.314685 59.969833;30.314723 59.969489;30.314729 59.969413;30.314779 59.969415;30.314782 59.969367;30.314732 59.969363;30.314730 59.969297;30.314774 59.969242;30.314888 59.969198;30.315015 59.969158;30.314944 59.969016;30.314944 59.969016;30.314943 59.969013;30.314937 59.968997;30.314804 59.969010;30.314833 59.969079;30.314833 59.969079;30.314833 59.969079;30.314704 59.969113;30.314626 59.969145;30.314544 59.969186;30.314509 59.969256;30.314509 59.969256;30.314471 59.969575;30.314471 59.969575;30.314464 59.969809;30.314463 59.969858),10
LINESTRING(30.314637 59.970678;30.314770 59.970672;30.314770 59.970672;30.314746 59.970584;30.314961 59.970571;30.314970 59.970606;30.315056 59.970600;30.315050 59.970564;30.315204 59.970554;30.315025 59.969897;30.314689 59.969928;30.314680 59.969893;30.314461 59.969920;30.314637 59.970678),11
LINESTRING(30.314650 59.970734;30.314655 59.970771;30.314668 59.970871;30.316683 59.970803;30.316679 59.970772;30.316676 59.970752;30.316676 59.970752;30.316653 59.970575;30.316643 59.970501;30.316640 59.970481;30.316312 59.970492;30.316337 59.970677;30.314785 59.970729;30.314650 59.970734),18
LINESTRING(30.315200 59.969919;30.315300 59.970192;30.315250 59.970198;30.315269 59.970280;30.315311 59.970276;30.315411 59.970552;30.315527 59.970542;30.315542 59.970582;30.315703 59.970567;30.315692 59.970521;30.315788 59.970511;30.315542 59.969886;30.315200 59.969919),23
LINESTRING(30.316357 59.968839;30.315545 59.968941;30.315241 59.968979;30.314944 59.969016;30.315015 59.969158;30.315500 59.969097;30.315547 59.969193;30.315601 59.969186;30.315649 59.969281;30.315713 59.969411;30.315627 59.969421;30.315412 59.969448;30.315421 59.969465;30.315265 59.969485;30.315373 59.969699;30.316714 59.969532;30.316484 59.969069),9
LINESTRING(30.315087 59.968671;30.315164 59.968825;30.315202 59.968907;30.315202 59.968907;30.315508 59.968867;30.315602 59.968855;30.315547 59.968746;30.315462 59.968757;30.315428 59.968689;30.315399 59.968632;30.315310 59.968643;30.315087 59.968671),8
LINESTRING(30.315148 59.969257;30.315239 59.969401;30.315376 59.969382;30.315412 59.969448;30.315627 59.969421;30.315558 59.969291;30.315649 59.969281;30.315601 59.969186;30.315547 59.969193;30.315148 59.969257),9
LINESTRING(30.316484 59.969069;30.316621 59.969052;30.316605 59.969019;30.316864 59.968986;30.316882 59.969023;30.317038 59.969004;30.316920 59.968769;30.316357 59.968839;30.316484 59.969069),4