wkt_geom,id,building_i,out_in_dbl,car
POINT(30.317956 59.968524),1,1,d,0
POINT(30.317566 59.968248),2,1,o,0
POINT(30.317024 59.968089),3,1,o,0
POINT(30.316481 59.968061),4,2,d,0
POINT(30.316710 59.968317),5,2,i,0
POINT(30.316575 59.968469),6,2,i,0
POINT(30.315941 59.968046),31,5,o,0
POINT(30.315817 59.968351),30,3,i,0
POINT(30.315087 59.968671),29,8,o,0
POINT(30.315112 59.968993),24,9,o,0
POINT(30.316518 59.968818),23,4,i,0
POINT(30.315336 59.969118),25,9,i,0
POINT(30.315196 59.969339),27,9,i,0
POINT(30.314544 59.969186),28,10,o,0
POINT(30.315640 59.969668),26,9,i,0
POINT(30.314484 59.970017),22,11,o,0
POINT(30.315605 59.970839),10,18,o,0
POINT(30.317399 59.970732),11,17,o,0
POINT(30.317216 59.970250),12,17,i,0
POINT(30.317923 59.970473),13,16,i,0
POINT(30.318590 59.970727),32,14,o,0
POINT(30.318826 59.970182),33,15,o,0
POINT(30.318305 59.969841),14,13,d,1
POINT(30.317870 59.969689),15,19,i,0
POINT(30.318260 59.968811),7,12,i,0
POINT(30.317539 59.968750),8,12,i,0
POINT(30.317323 59.968834),9,12,i,0
POINT(30.316466 59.970386),16,21,i,0
POINT(30.316197 59.970057),17,21,i,0
POINT(30.315689 59.969886),18,22,i,0
POINT(30.315819 59.970284),19,22,i,0
POINT(30.315387 59.969902),20,23,i,0
POINT(30.315788 59.970511),21,23,i,0
POINT(30.317695 59.969899),34,24,i,0
POINT(30.315059 59.968150),35,7,o,0
POINT(30.315241 59.968979),36,8,d,1
POINT(30.316982 59.968418),37,2,d,1
POINT(30.314464 59.969809),38,10,d,1
POINT(30.316939 59.970745),39,17,d,1
POINT(30.316932 59.970110),41,20,i,0